id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
3,3,224699,,,,,0.000335,38.859279,442.4779,5.24,-2.91,0.0,6.61,-1.619,B9,-0.019,344.552785,0.030213,277.614965,0.00000392,0.00001124,-0.00000486,0.0000876262870725,0.6782223625543176,0.0000000254042369,-0.000000014108078,,,And,1,3,,386.9011316551087,,,
19,19,224721,,,,,0.003554,38.30405,249.3766,-2.5,-15.07,16.0,6.53,-0.454,G5,0.955,195.693966,0.182078,154.572309,0.00002414,-0.000003,-0.00000415,0.0009304489470074,0.6685317837125663,-0.000000012120342,-0.000000073061421,,,And,1,19,,132.31223331133708,,,
25,25,224750,9077,,,,0.0053,-44.290561,81.367,58.36,-108.64,3.0,6.28,1.728,G3IV,0.763,58.243094,0.080879,-56.818381,-0.00002776,0.00002298,-0.00003282,0.0013876607010597569,-0.7730161236388425,0.000000282937264,-0.000000526701582,,,Phe,1,25,,17.733726245425586,,,
34,34,224758,9078,,,,0.006638,26.918108,74.6269,42.2,-53.47,0.0,6.43,2.066,F7.5IV-V,0.514,66.54131,0.115654,33.784832,0.00000873,0.00001528,-0.00001725,0.0017378621745154513,0.4698096167386025,0.0000002045913732,-0.000000259229874,,,Peg,1,34,,12.989726288978545,,,
43,43,224784,9079,,,,0.008593,59.559679,136.2398,-80.6,-24.07,-33.0,6.18,0.508,G9III-IV,1.032,69.024292,0.155048,117.45989,-0.00000327,-0.00005324,-0.00003715,0.0022496078515178816,1.0395125049217948,-0.0000003907598265,-0.000000116694652,,,Cas,1,43,,54.55065881703731,,,
50,50,224782,,,,,0.009533,-53.097713,59.4177,52.98,-20.52,0.0,6.49,2.62,G1IV,0.616,35.677374,0.089097,-47.513999,-0.00000476,0.00001525,-0.00000355,0.0024958074750196357,-0.9267299094829613,0.000000256854288,-0.000000099483767,,,Phe,1,50,,7.798301105232586,,,
63,63,224801,9080,,,,0.012119,45.253334,187.9699,17.38,0.22,-3.0,6.36,-0.01,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-0.00000235,0.00001583,-0.00000204,0.003172863280404705,0.7898196673326625,0.0000000842606177,0.00000000106659,,,And,1,63,,87.90225168308842,CG,6.382,6.322
73,73,224826,,,,,0.014694,66.848011,280.112,-20.78,18.19,-12.0,6.9,-0.337,K2,1.446,110.131222,0.423507,257.553115,-0.00002743,-0.00002832,-0.00000157,0.00384682048752533,1.16671788964157,-0.0000001007442828,0.000000088187608,,,Cep,1,73,,118.79550279416512,,,
88,88,224834,9081,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,0.00000099,-0.00001579,-0.00001008,0.004696959812148889,-0.8518930353430763,-0.0000000868786116,-0.000000032724923,Tau,,Phe,1,88,,149.69248567600363,,,
106,106,224870,9083,,,,0.022013,49.981558,199.6008,13.29,-11.19,-20.0,6.22,-0.281,G7II-III,0.97,128.347884,0.73972,152.861641,-0.00000493,0.00001283,-0.00002263,0.005763021777708776,0.8723427473068125,0.0000000644317381,-0.00000005425065,,,Cas,1,106,,112.82361216489925,,,
107,107,224865,9082,,,,0.022255,-50.337373,166.3894,7.34,10.59,2.0,5.53,-0.576,M2III,1.615,106.198875,0.618768,-128.089244,0.00000785,0.00000597,0.00000388,0.005826258371586336,-0.87855289975953,0.0000000355853242,0.000000051341768,,,Phe,1,107,,148.04713248976265,,,
119,119,224894,,,,,0.026012,44.675401,155.521,-10.61,-18.37,0.0,6.82,0.861,K0,1.071,110.588637,0.753085,109.345178,0.00000979,-0.00000793,-0.00000985,0.006809862911099315,0.7797328437226113,-0.0000000514387315,-0.000000089060273,,,And,1,119,,39.409416073228584,,,
121,121,224895,,,,,0.026429,28.423691,226.2443,-18.88,-34.1,-11.4,6.83,0.057,K2III,1.197,198.966112,1.376651,107.6895,0.00000769,-0.00002065,-0.00003844,0.006919022087799723,0.49608699743718127,-0.0000000915328229,-0.000000165321465,,,Peg,1,121,,82.64184417157952,,,
122,122,224889,9084,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.78,0.663,K2III,1.254,14.902031,0.103716,-64.888859,-0.00005004,-0.00001859,-0.00003671,0.0069680833539428125,-1.3450506304308112,-0.0000002740166922,-0.000000857877807,The,,Oct,1,122,,47.293341491865164,,,
124,124,224893,9085,,,,0.026949,61.222801,943.3962,-2.8,-1.34,-23.0,5.58,-4.293,F0III,0.407,454.144163,3.204116,826.885007,-0.00000586,-0.00001285,-0.00002357,0.007055293220648263,1.0685394491555988,-0.0000000135747831,-0.000000006496503,,,Cas,1,124,,4541.507126325551,,,
128,128,224890,,,,,0.027597,73.611846,70.7714,75.54,-12.36,-8.0,6.5,2.251,Am...,0.182,19.96712,0.144423,67.896054,0.00000157,0.00002593,-0.00000905,0.007224759497225053,1.2847690896740125,0.0000003662282543,-0.00000005992297,,,Cep,1,128,,10.95468767333996,,,
133,133,224914,,,,,0.02823,-40.148702,208.7683,33.7,-14.84,-8.4,6.62,0.022,F5IV,0.545,159.572564,1.17943,-134.608237,-0.0000165,0.00003399,-0.00000594,0.007390609594340539,-0.7007270395305625,0.0000001633822103,-0.00000007194635,,,Phe,1,133,,85.34930716135483,,,
136,136,224907,,,,,0.028579,24.253113,180.5054,18.5,-28.01,0.0,6.6,0.318,K2III-IV,1.153,164.569338,1.231343,74.145911,0.00000995,0.00001626,-0.00002235,0.007482002792145399,0.42329666978227876,0.0000000896905309,-0.000000135796311,,,Peg,1,136,,64.9830363484238,,,
137,137,224906,9086,,,,0.028847,42.367144,374.5318,5.11,-1.77,-11.0,6.25,-1.617,B9IIIp Mn,-0.042,276.711822,2.089808,252.388978,-0.00000622,0.00000923,-0.00000996,0.007552068772316919,0.7394461549144825,0.0000000247739791,-0.000000008581202,,,And,1,137,,386.18908944898993,,,
145,145,224926,9087,,29    Psc,,0.030402,-3.027504,139.2758,18.9,-10.25,23.0,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,0.00002302,0.00001294,-0.00000815,0.007959311760624218,-0.052839908817267495,0.0000000916297856,-0.000000049693402,,29,Psc,1,145,,149.830421062266,,,
154,154,224935,9089,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12.0,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167,-0.00001524,0.0000298,-0.0000251,0.008553478676206407,-0.104965358843855,0.0000002260201379,-0.000000200325012,,30,Psc,1,154,,272.89777828080406,YY,4.418,4.308
159,159,224945,,,,,0.03406,-2.766171,62.461,39.33,-3.17,0.0,6.93,2.952,A3,0.292,62.385741,0.556308,-3.01437,-0.00000015,0.00001191,-0.00000096,0.008917002425679922,-0.04827878647518875,0.0000001906772206,-0.000000015368593,,,Psc,1,159,,5.7438091349631755,BU,6.951,6.911
171,171,224930,9088,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,-0.00000999,0.00004584,-0.00006577,0.00946108171981008,0.47267453579784746,0.0000037747108354,-0.000004454080246,,85,Peg,1,171,Gl 914,0.6171631684555837,,,
179,179,224974,,,,,0.037966,-13.407437,65.2742,261.21,32.13,0.0,6.9,2.826,G0V,0.534,63.492066,0.631126,-15.135401,0.00000154,0.00008267,0.00000989,0.009939599840881068,-0.23400392700694375,0.000001266381815,0.000000155770635,,,Cet,1,179,,6.4505983328483145,,,
181,181,224980,,,,,0.038253,60.703168,363.6364,-8.91,-11.05,-25.5,6.77,-1.033,M0,1.832,177.930706,1.781896,317.12577,0.00000438,-0.00001566,-0.00003228,0.010014610027134297,1.0594701422457788,-0.0000000431968989,-0.000000053571911,,,Cas,1,181,,225.52775667452468,V822,6.814,6.724
183,183,224990,9091,,Zet Scl,,0.038867,-29.720414,154.0832,9.66,14.0,8.6,5.04,-0.899,B4V,-0.15,133.807455,1.36158,-76.389577,0.00001275,0.00000735,0.00000472,0.01017525278876349,-0.5187190791032438,0.0000000468330015,0.000000067873915,Zet,,Scl,1,183,,199.34254564980927,,,
186,186,224995,9092,,31    Psc,,0.040046,8.956824,122.8501,-0.87,-4.11,11.0,6.33,0.883,A6V,0.182,121.345487,1.272247,19.126563,0.0000115,-0.0000004,-0.00000067,0.010484117093558568,0.15632606164888252,-0.000000004217879,-0.000000019925842,,31,Psc,1,186,,38.618908944898976,,,
194,194,225003,9093,,32    Psc,,0.041584,8.485463,36.9004,-93.55,-47.5,10.0,5.7,2.865,F0V,0.315,36.494389,0.397318,5.44498,0.00001155,-0.00001661,-0.00000689,0.010886699497016102,0.1480992689931425,-0.0000004535431982,-0.000000230286498,,32,Psc,1,194,,6.223002851691592,,,
208,207,225009,9094,,,,0.043357,66.098966,100000.0,3.32,1.14,-18.0,5.87,-14.13,G8III,1.073,40513.198308,459.88359,91424.664275,-0.00053094,0.00160352,0.00020708,0.0113507568383742,1.1536445903601564,0.0000000160958142,0.000000005526875,,,Cas,1,208,,39084089.57924025,,6.002,5.812
238,238,225045,9095,,,,0.049301,-20.045882,61.1621,100.38,78.95,-4.0,6.25,2.318,F6/F7V,0.526,57.451984,0.741591,-20.964675,0.0000038,0.00002981,0.00002339,0.01290702523975974,-0.3498666438465,0.0000004866559725,0.0000003827604,,,Cet,1,238,,10.299117193406989,,,
253,253,225069,9096,,,,0.052181,-24.145145,203.666,59.32,-3.14,25.0,6.46,-0.085,K1III,1.176,185.830563,2.53883,-83.309585,0.00002126,0.00005886,-0.00001329,0.013660980425408925,-0.4214122862025538,0.0000002875914753,-0.000000015223149,,,Cet,1,253,,94.18895965228413,,,
254,254,225068,,,,,0.052317,42.747908,162.3377,32.79,-3.84,0.0,6.73,0.678,A2,0.051,119.201069,1.632794,110.190599,0.0000017,0.00002583,-0.00000222,0.013696456991051225,0.7460917371026062,0.0000001589704059,-0.000000018616845,,,And,1,254,,46.64445252037798,,,
258,258,225073,,,,,0.053698,17.552268,171.5266,58.45,-52.87,0.0,6.59,0.418,K0,1.122,163.524544,2.299016,51.728256,0.00001257,0.00004878,-0.00004192,0.014058103518967491,0.30634487519132,0.0000002833735963,-0.000000256320992,,,Peg,1,258,,59.26523352402154,,,
274,274,225094,9097,,,,0.057143,63.64052,763.3588,-3.27,-1.83,-43.0,6.24,-3.174,B3Ia,0.332,338.894446,5.070187,683.988975,-0.00001328,-0.0000123,-0.00004241,0.014960020282685652,1.1107366073692124,-0.0000000158534074,-0.00000000887209,,,Cas,1,274,,1620.3170427400003,V639,6.288,6.208
277,277,225101,,,,,0.057297,-36.251193,65.6168,72.54,5.06,12.0,6.96,2.875,F2V,0.353,52.90964,0.79376,-38.801012,0.0000105,0.00002323,-0.00000596,0.015000320233633907,-0.632702670348745,0.0000003516838439,0.000000024531572,,,Scl,1,277,,6.16595001861482,,,
297,297,225124,,,,,0.061626,48.436907,137.931,-25.44,-8.19,0.0,6.8,1.102,A2,0.06,91.497639,1.476258,103.203505,0.00000437,-0.00001694,-0.00000363,0.016133524804747085,0.8453835005704,-0.0000001233366003,-0.00000003970624,,,And,1,297,,31.564578912990697,,,
300,301,225132,9098,,2    Cet,,0.06233,-17.335988,83.4725,28.57,-7.28,-5.0,4.55,-0.058,B9IVn,-0.047,79.670013,1.300177,-24.872663,-0.00000595,0.00001147,-0.00000129,0.01631802797359968,-0.30257006382630625,0.0000001385112685,-0.000000035294435,,2,Cet,1,300,,91.87556016660622,,,
302,302,225136,9099,,,,0.064342,66.712183,265.9574,7.86,-8.15,15.0,6.31,-0.814,M4,1.629,105.131447,1.771134,244.290098,0.00001554,0.0000104,0.00000994,0.016844749430608805,1.1643472412672524,0.0000000381063553,-0.000000039512314,,,Cep,1,302,,184.33168795057549,V398,6.356,6.256
330,330,225180,9100,,9    Cas,,0.070462,62.287664,100000.0,-0.99,-0.37,-18.0,5.9,-14.1,A1III,0.274,46495.3549,857.790357,88529.351835,0.00015906,-0.00047707,-0.00009971,0.018446903003014922,1.0871248133041624,-0.0000000047996554,-0.00000000179381,,9,Cas,1,330,,38018939.632056125,,,
343,343,225197,9101,,,,0.072165,-16.529036,90.6618,53.77,-60.27,-27.0,5.78,0.993,K0III,1.084,86.89952,1.641967,-25.793323,-0.00003445,0.00002299,-0.00001754,0.018892655987765305,-0.2884861027255437,0.000000260684316,-0.000000292197205,,,Cet,1,343,,34.89795674378744,,,
345,345,225200,9102,,,,0.07231,-29.268822,124.8439,29.15,3.44,28.0,6.38,0.898,A1V,0.006,108.886464,2.061556,-61.037283,0.00002566,0.00001813,-0.00001218,0.018930632577893968,-0.5108373060710875,0.0000001413231879,0.00000001667759,,,Scl,1,345,,38.08903764981351,,,
355,355,225212,9103,,3    Cet,,0.075033,-10.509523,641.0256,-6.49,-11.88,-42.0,4.99,-4.044,K3Ibvar,1.619,630.150175,12.379991,-116.922329,-0.00004856,-0.00002113,-0.00002846,0.019643574686431155,-0.18342578396381876,-0.0000000314644079,-0.000000057595865,,3,Cet,1,355,,3610.771451003532,,,
366,365,225218,9105,,,,0.07683,42.09253,386.1004,-11.94,-12.73,-8.0,6.11,-1.824,B9III,0.159,286.452905,5.762477,258.814588,0.00001035,-0.00002214,-0.00002317,0.020114128490907237,0.7346532469781663,-0.0000000578867535,-0.000000061716781,,,And,1,366,,467.30453963150995,,,
377,377,225253,9108,,,,0.078131,-71.436891,175.4386,30.0,-13.62,-3.0,5.59,-0.631,B8III,-0.1,55.839008,1.142475,-166.311133,-0.00001248,0.00002526,-0.00000078,0.020454582635911458,-1.246808961776701,0.0000001454441042,-0.000000066031623,,,Tuc,1,377,,155.73993890808558,,,
379,379,225216,9104,,,,0.078304,67.166445,92.6784,95.58,23.8,-27.0,5.68,0.845,K1III,1.051,35.956698,0.73744,85.415532,-0.00002145,0.00004251,-0.0000213,0.02049985461801391,1.1722756186244814,0.0000004633849159,0.000000115385655,,,Cep,1,379,,39.99447497610976,,,
394,394,225239,9107,GJ 3002,,,0.081573,34.659797,39.185,769.11,100.49,6.4,6.09,3.124,G2V,0.632,32.224052,0.688502,22.28464,-0.00000859,0.00014595,0.00001942,0.02135579856686206,0.6049275719060863,0.0000037287504985,0.000000487189267,,,And,1,394,,4.902301301361681,,,
398,398,225257,,,,,0.081937,58.532166,840.3361,9.06,-3.04,11.0,6.61,-3.012,B3V,0.025,438.57121,9.409366,716.750782,0.00001564,0.00003725,0.00000313,0.02145094833604526,1.0215790230395687,0.0000000439241195,-0.000000014738335,,,Cas,1,398,,1395.7254577067674,,,
399,399,225276,9109,,,,0.08222,26.648764,200.0,112.32,-14.52,-5.0,6.25,-0.255,K4IIIb,1.368,178.713114,3.84753,89.703967,-0.0000006,0.00010891,-0.00001488,0.021525194748852502,0.4651086770442225,0.000000544542726,-0.000000070394946,,,Peg,1,399,,110.15393095414144,,,
410,410,225292,,,,,0.083662,27.674784,168.0672,83.36,-6.57,11.5,6.47,0.343,G8II,0.946,148.804386,3.259799,78.059251,0.00001141,0.00006818,0.00000072,0.02190264123098597,0.4830160962927425,0.0000004041406841,-0.000000031852258,,,Peg,1,410,,63.503841850404065,,,
417,417,6,2,,,,0.084395,-0.503035,138.8889,44.86,-53.47,14.0,6.32,0.607,G9III:,1.099,138.849775,3.068332,-1.219378,0.00001333,0.00003051,-0.00003613,0.0220946140148996,-0.0087796252613975,0.0000002174874171,-0.000000259229874,,,Psc,1,417,,49.79663541644854,,,
418,418,225289,9110,,,,0.085039,61.31397,221.7295,14.29,2.24,14.0,5.8,-0.929,B8MNp...,-0.067,106.405975,2.369398,194.515247,0.00000442,0.00001546,0.00001372,0.022263193198905826,1.0701306540234776,0.000000069279875,0.000000010859826,,,Cas,1,418,,204.9273858380245,V567,5.809,5.789
424,424,3,1,,,,0.086046,45.229029,138.5042,-27.19,-20.38,-18.0,6.71,1.003,A1Vn,0.068,97.52013,2.197135,98.327847,-0.00000284,-0.00001832,-0.00002271,0.022526735567652247,0.789395477456005,-0.0000001318208397,-0.000000098805028,,,And,1,424,,34.57801035323058,,,
431,432,17,,,,,0.086946,35.571012,97.2763,2.96,-37.47,0.0,6.88,1.94,A2,0.174,79.103576,1.800895,56.586744,0.00001024,0.00000163,-0.00001437,0.022762338566743263,0.6208312774777475,0.0000000143504849,-0.000000181659686,,,And,1,431,,14.588142602753482,,,
439,441,32,,,,,0.088876,-38.857152,208.7683,73.31,32.46,0.0,6.93,0.332,G8III/IV,0.94,162.526485,3.782455,-130.977241,0.00001888,0.00007465,0.00002558,0.023267772897955636,-0.67818524400795,0.0000003554169092,0.00000015737052,,,Scl,1,439,,64.15049325106628,,,
441,443,28,3,,33    Psc,,0.088928,-5.707618,39.4945,-8.29,88.19,-6.0,4.61,1.627,K1III,1.029,39.287997,0.914841,-3.927804,-0.00000439,-0.00000169,0.00001741,0.023281305328276467,-0.09961672987464,-0.0000000401910541,0.000000427557184,,33,Psc,1,441,,19.462561593612413,BC,4.62,4.6
447,448,43,,,,,0.089511,3.606092,196.4637,-20.57,-6.31,0.0,6.91,0.444,G5,1.12,196.020876,4.594372,12.356905,0.00000084,-0.00001958,-0.000006,0.02343388739597671,0.06293817432224874,-0.0000000997261741,-0.000000030591743,,,Psc,1,447,,57.86287388179521,,,
457,458,62,,,,,0.091178,-7.66542,214.5923,20.67,-37.87,0.0,6.97,0.312,K5,1.444,212.614091,5.076159,-28.624054,-0.00000577,0.00002137,-0.00003904,0.023870445846142996,-0.13378682149072502,0.0000001002109878,-0.00000018359894,,,Cet,1,457,,65.34313996495986,,,
471,472,71,,,,,0.094368,55.709898,247.5248,8.82,-1.82,-8.7,6.99,0.022,K0III,1.187,139.408747,3.444899,204.503844,-0.00000347,0.0000105,-0.00000858,0.024705465154957966,0.97232114179343,0.0000000427605666,-0.000000008823608,,,Cas,1,471,,85.34930716135483,,,
475,476,87,4,,86    Peg,,0.094989,13.396266,114.2857,42.59,-6.51,-2.0,5.55,0.26,G5III,0.901,111.141705,2.764456,26.478222,-0.00000174,0.00002356,-0.00000398,0.0248680747187823,0.2338089558380125,0.0000002064821465,-0.00000003156137,,86,Peg,1,475,,68.54882264526617,,,
495,496,100,,,,,0.099091,24.569005,287.3563,34.93,-17.05,0.0,6.9,-0.392,K5,1.564,261.251462,6.778969,119.479548,0.00000861,0.0000489,-0.0000216,0.02594209077241291,0.42881002271859503,0.0000001693454186,-0.000000082660732,,,Peg,1,495,,124.96833972112192,,,
501,502,111,,,,,0.100149,28.276949,359.7122,-5.09,-4.69,9.9,6.62,-1.16,K5III,1.531,316.67823,8.304835,170.40792,0.00001302,-0.00000854,-0.00000241,0.026218859076107024,0.49352586304459123,-0.0000000246770163,-0.000000022737761,,,Peg,1,501,,253.51286304979072,,,
507,508,110,,,,,0.101182,40.41853,248.139,-2.99,-2.59,5.6,6.65,-0.323,G5,0.912,188.849095,5.003641,160.884962,0.00000647,-0.00000343,0.00000134,0.026489287160620822,0.7054364281291025,-0.000000014495929,-0.000000012556674,,,And,1,507,,117.27353057793782,,,
517,518,123,5,Gl 4.1A,,,0.104356,58.436733,21.4777,247.36,17.77,-11.6,5.98,4.32,G5V,0.687,11.23803,0.307211,18.300258,-0.00000849,0.00002553,-0.00000914,0.027320425307301943,1.0199133908246714,0.0000011992351202,0.000000086151391,,,Cas,1,517,Gl   4.1,1.6292960326397214,V640,5.994,5.964
521,522,142,6,Gl 4.2A,,,0.105277,-49.075191,25.7136,575.21,-39.94,2.6,5.7,3.649,G1IV...,0.519,16.837769,0.46441,-19.42844,-0.00000399,0.00007162,-0.00000527,0.02756156509675433,-0.85652366430261,0.0000027886967719,-0.000000193634584,,,Phe,1,521,Gl   4.2,3.0227344800386517,,,
524,525,145,,,,,0.105609,40.898745,119.1895,82.91,10.65,0.0,6.93,1.549,K0,1.086,90.057071,2.490669,78.036258,-0.00000535,0.00004778,0.00000465,0.0276483751414473,0.71381776778574,0.0000004019590225,0.000000051632656,,,And,1,524,,20.912213301552878,,,
530,531,144,7,,10    Cas,,0.10737,64.196168,265.9574,9.7,0.01,-0.4,5.57,-1.554,B9III,-0.023,115.723206,3.253833,239.438695,-0.00000054,0.0000125,-0.00000036,0.028109436485611372,1.1204345074242086,0.000000047026927,0.000000000048481,,10,Cas,1,530,,364.4181507888612,,,
539,540,167,,,,,0.109872,28.553404,162.0746,-8.29,-13.54,4.4,6.68,0.631,G9III,0.986,142.302932,4.0944,77.468059,0.00000922,-0.00000625,-0.00000719,0.028764536328276465,0.498350910616995,-0.0000000401910541,-0.000000065643772,,,Peg,1,539,,48.70796664925366,,,
543,544,166,8,Gl 5,,,0.110209,29.021502,13.6705,379.94,-178.34,-5.5,6.07,5.391,K0V,0.752,11.948982,0.344882,6.632053,0.00000009,0.00002519,-0.00001306,0.028852628509606647,0.5065207576037262,0.0000018420010979,-0.000000864616717,,,And,1,543,,0.6075751461057411,V439,6.091,6.051
559,560,203,9,,,,0.113911,-23.10754,39.3856,97.3,-47.09,3.0,6.19,3.213,F2IV,0.386,36.209605,1.080174,-15.457211,-0.00000126,0.00001855,-0.00000947,0.02982195158247283,-0.4033026516141675,0.0000004717237112,-0.000000228298762,,,Cet,1,559,,4.516479049291118,,,
566,567,213,,,,,0.114803,-38.877668,363.6364,-11.35,8.97,0.0,6.91,-0.893,K0III,1.123,282.958672,8.506932,-228.239902,0.00001052,-0.0000197,0.00001231,0.030055302519413497,-0.6785433034818638,-0.0000000550263527,0.000000043487787,,,Scl,1,566,,198.24397628726393,,,
601,602,256,10,,,,0.121741,-17.38699,176.0563,-10.77,17.02,-9.0,6.2,-0.028,A2IV/V,0.133,167.926569,5.35391,-52.609842,-0.00000415,-0.00000933,0.00001661,0.03187167312370778,-0.30346021599123,-0.0000000522144334,0.000000082515288,,,Cet,1,601,,89.37169608501976,,,
618,619,281,,,,,0.126439,31.669001,161.8123,8.35,-20.12,0.0,6.87,0.825,G5,1.124,137.642243,4.557871,84.953277,0.00000806,0.00000682,-0.00001343,0.03310173421699535,0.5527283304855201,0.0000000404819423,-0.000000097544512,,,And,1,618,,40.73802778041126,,,
625,626,290,,,,,0.127202,40.147954,92.3361,-25.03,-17.45,-30.0,6.73,1.903,G5,0.951,70.540719,2.349949,59.534784,-0.00001803,-0.00001181,-0.00002575,0.03330137519743787,0.7007139787501138,-0.0000001213488642,-0.000000084599987,,,And,1,625,,15.093848966549519,,,
630,631,323,,,,,0.128037,-65.932427,124.8439,29.3,-62.83,0.0,6.83,1.348,K1/K2III,1.158,50.884457,1.706383,-113.990612,-0.00003529,0.00001656,-0.00001551,0.03352010094107352,-1.1507379423238062,0.0000001420504084,-0.000000304608435,,,Tuc,1,630,,25.165177616146437,,,
634,635,315,11,,,,0.12892,-2.548679,183.4862,30.12,2.77,13.0,6.43,0.112,B8IIIsp...,-0.146,183.200416,6.185593,-8.159303,0.00001248,0.00002723,0.00000187,0.033751257726455104,-0.044482847493292496,0.0000001460258806,0.000000013429338,,,Psc,1,634,,78.55973322609896,,,
635,636,319,12,,,,0.129693,-22.50856,78.3699,70.1,-34.71,-13.0,5.93,1.459,A1V,0.141,72.358029,2.457783,-30.001634,-0.00001822,0.00002603,-0.00000709,0.03395367272591311,-0.39284847743974505,0.0000003398543901,-0.000000168278828,,,Cet,1,635,,22.71956437735267,,,
654,655,344,13,,,,0.134303,-33.529326,94.9668,-42.75,3.15,7.0,5.67,0.782,K1III,1.119,79.115753,2.782872,-52.45625,0.00000746,-0.00001943,-0.00000275,0.03516055349382617,-0.5851971343732375,-0.0000002072578484,0.00000001527163,,,Scl,1,654,,42.383810577435,,,
663,664,352,14,,,,0.136693,-2.447711,279.3296,7.25,-4.87,1.0,6.18,-1.051,K2III,1.366,278.896072,9.984904,-11.929502,0.00000039,0.00000984,-0.00000663,0.0357862385536786,-0.0427206115912275,0.0000000351489918,-0.000000023610426,,,Psc,1,663,,229.29785918248209,AP,6.296,6.116
670,671,360,16,,,,0.138204,-8.824112,98.4252,-34.13,-35.67,20.0,5.99,1.024,G8III:,1.034,97.196752,3.518268,-15.098621,0.00001818,-0.00001564,-0.00001996,0.03618160116454473,-0.15400980916409124,-0.0000001654669092,-0.000000172933039,,,Cet,1,670,,33.91563869058218,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.03659716270801555,0.5077238184659449,0.0000006577952018,-0.000000790003892,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
693,695,371,,,,,0.142462,63.20404,369.0037,-9.43,-3.52,-7.0,6.41,-1.425,G3II,0.998,166.236542,6.202821,329.379145,0.00000302,-0.00001677,-0.00000923,0.03729640896811183,1.1031186036773912,-0.0000000457179301,-0.000000017065441,,,Cas,1,693,,323.5936569296281,,,
694,696,402,18,,,,0.142638,-17.578155,578.0347,14.92,-47.27,-17.0,6.11,-2.7,M0/M1IIICNp,1.664,550.659574,20.572593,-174.570161,-0.0000581,0.00003967,-0.00012102,0.03734251392425997,-0.3067966822499775,0.0000000723342011,-0.000000229171426,,,Cet,1,694,,1047.1285480508996,CF,6.179,6.019
697,699,400,17,Gl 6,,,0.14471,36.627125,32.4465,-114.72,-124.6,-15.2,6.21,3.654,F8IV,0.504,26.020663,0.986231,19.357659,-0.0000001,-0.00001806,-0.000025,0.03788488744027458,0.6392639273188562,-0.0000005561782543,-0.000000604077845,,,And,1,697,,3.008846276645725,,,
712,714,414,,,,,0.147223,40.494549,255.102,7.09,-7.99,-28.0,6.82,-0.214,K5,1.568,193.852574,7.475353,165.656879,-0.00001569,0.00000817,-0.00002611,0.03854286376628708,0.7067632130546362,0.00000003437329,-0.000000038736613,,,And,1,712,,106.07181496353158,,,
714,716,417,19,,,,0.147814,25.462985,138.5042,104.61,54.77,15.0,6.24,0.533,K0III,0.976,124.956847,4.838002,59.546878,-0.00000468,0.00007011,0.0000398,0.03869758068142325,0.444412921408955,0.0000005071635912,0.000000265532452,,,Peg,1,714,,53.308934223670136,,,
726,728,434,,,,,0.150045,28.247543,110.8647,5.9,-5.62,6.9,6.47,1.246,A4Vm,0.242,97.586654,3.835335,52.470284,0.00000752,0.00000347,0.00000068,0.03928159028506258,0.49301262659288003,0.0000000286040072,-0.000000027246528,,,Peg,1,726,,27.64394371220336,,,
727,729,448,22,,87    Peg,,0.150672,18.211963,87.4126,140.93,-25.57,-23.0,5.57,0.862,G9III,1.043,82.969037,3.274515,27.319281,-0.0000213,0.00005893,-0.00001764,0.03944591941930006,0.31785871928999254,0.00000068324792,-0.000000123966858,,87,Peg,1,727,,39.37313537008504,,,
728,730,469,23,,,,0.15066,-54.001931,128.3697,46.45,13.08,1.0,6.32,0.778,G4IV...,0.738,75.391635,2.975289,-103.855819,0.00000604,0.00002917,0.00000396,0.03944260246460291,-0.9425115001307462,0.0000002251959546,0.000000063413629,,,Phe,1,728,,42.54024629440678,,,
735,737,445,,,,,0.151014,40.842859,59.312,126.0,-171.99,0.0,6.93,3.064,G5,0.8,44.834822,1.773563,38.789258,0.00003088,0.00003748,-0.00003741,0.039535376070828125,0.7128423679783213,0.0000006108652375,-0.000000833831049,,,And,1,735,,5.180837850719928,,,
